15:58:13 [WARN] Thread 9: Fetch fails: crate 5550 rust-s3, Download error.
15:58:26 [WARN] Thread 0: Fetch fails: crate 5551 thrussh, Download error.
15:58:27 [WARN] Thread 4: Fetch fails: crate 5551 thrussh, Download error.
15:58:40 [WARN] Thread 6: Fetch fails: crate 5617 encoding_rs, Download error.
15:58:41 [WARN] Thread 9: Fetch fails: crate 5617 encoding_rs, Download error.
15:58:41 [WARN] Thread 10: Fetch fails: crate 5528 serde_test, Download error.
15:58:42 [WARN] Thread 11: Fetch fails: crate 5528 serde_test, Download error.
16:01:00 [WARN] Thread 8: Fetch fails: crate 5806 ruma-identifiers, Download error.
16:01:01 [WARN] Thread 7: Fetch fails: crate 5806 ruma-identifiers, Download error.
16:01:06 [WARN] Thread 11: Fetch fails: crate 5852 cargo-bitbake, Download error.
16:01:06 [WARN] Thread 5: Fetch fails: crate 5852 cargo-bitbake, Download error.
16:01:24 [WARN] Thread 4: Fetch fails: crate 5848 futures, Download error.
16:01:25 [WARN] Thread 2: Fetch fails: crate 5848 futures, Download error.
16:05:09 [WARN] Thread 7: Fetch fails: crate 6086 rawloader, Download error.
16:05:10 [WARN] Thread 0: Fetch fails: crate 6086 rawloader, Download error.
16:05:15 [WARN] Thread 2: Fetch fails: crate 5981 ring, Download error.
16:05:16 [WARN] Thread 3: Fetch fails: crate 5981 ring, Download error.
16:08:39 [WARN] Thread 2: Fetch fails: crate 6169 serde_derive, Download error.
16:08:40 [WARN] Thread 8: Fetch fails: crate 6169 serde_derive, Download error.
16:09:12 [WARN] Thread 10: Fetch fails: crate 6327 protocol, Download error.
16:09:13 [WARN] Thread 6: Fetch fails: crate 6327 protocol, Download error.
16:09:56 [WARN] Thread 1: Fetch fails: crate 6274 syn, Download error.
16:09:56 [WARN] Thread 7: Fetch fails: crate 6274 syn, Download error.
16:14:11 [WARN] Thread 8: Fetch fails: crate 6536 git-journal, Download error.
16:14:11 [WARN] Thread 9: Fetch fails: crate 6536 git-journal, Download error.
16:14:21 [WARN] Thread 7: Fetch fails: crate 6553 rm-improved, Download error.
16:14:21 [WARN] Thread 9: Fetch fails: crate 6553 rm-improved, Download error.
16:14:29 [WARN] Thread 5: Fetch fails: crate 6543 deflate, Download error.
16:14:31 [WARN] Thread 3: Fetch fails: crate 6543 deflate, Download error.
16:14:54 [WARN] Thread 4: Fetch fails: crate 6533 v8, Download error.
16:14:58 [WARN] Thread 6: Fetch fails: crate 6533 v8, Download error.
16:18:08 [WARN] Thread 8: Fetch fails: crate 6784 hyper-rustls, Download error.
16:18:10 [WARN] Thread 9: Fetch fails: crate 6784 hyper-rustls, Download error.
16:18:20 [WARN] Thread 3: Fetch fails: crate 6796 control-code, Download error.
16:18:21 [WARN] Thread 7: Fetch fails: crate 6796 control-code, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6904 kqueue-sys, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6906 emacs-rust-module-base, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6907 osm4routing, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6908 cargo-travis, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6909 numeric-loops, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6910 img, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6911 wankel, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6912 whitespacers, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6913 parity-dapps-glue, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6914 frunk, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6915 tk-bufstream, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6917 cargo-cacher, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6918 piston2d-graphics_tree, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6919 spiralizer, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6920 hermes, Download error.
16:19:35 [WARN] Thread 2: Fetch fails: crate 6921 slog-extra, Download error.
